"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10pF","Device:C","","~"
"","","C2","10pF","Device:C","","~"
"","","C3","0.1uF","Device:C","","~"
"","","C4","10uF","Device:C","","~"
"","","C5","0.1uF","Device:C","","~"
"","","C6","1uF","Device:C","","~"
"","","C7","0.1uF","Device:C","","~"
"","","C8","100nF","Device:C_Small","","~"
"","","C9","10nF","Device:C_Small","","~"
"","","C10","4.7uF","Device:C_Small","","~"
"","","C13","100nF","Device:C_Small","","~"
"","","C15","1uF","Device:C_Small","","~"
"","","D1","YELLOW","Device:LED","","~"
"","","D2","GREEN","Device:LED","","~"
"","","D3","RED","Device:LED","","~"
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~"
"","","JP1","Jumper","Jumper:Jumper_3_Bridged12","","~"
"","","R1","10k","Device:R_Small","","~"
"","","R2","10k","Device:R_Small","","~"
"","","R3","1k","Device:R_Small","","~"
"","","R4","2k","Device:R_Small","","~"
"","","R5","330","Device:R_Small","","~"
"","","R6","330","Device:R_Small","","~"
"","","R7","330","Device:R_Small","","~"
"","","SW1","SW_Push","Switch:SW_Push","","~"
"","","U1","STM32F030C8Tx","MCU_ST_STM32F0:STM32F030C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00088500.pdf"
"","","U2","LF33_TO220","Regulator_Linear:LF33_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf"
"","","U3","LM7805_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"","","U4","KQ130-F","PLM:KQ130-F","",""
"","","Y1","32.768Hz","Device:Crystal","","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","10pF","Device:C","","~"
"2","3","C3, C5, C7","0.1uF","Device:C","","~"
"3","1","C4","10uF","Device:C","","~"
"4","1","C6","1uF","Device:C","","~"
"5","2","C8, C13","100nF","Device:C_Small","","~"
"6","1","C9","10nF","Device:C_Small","","~"
"7","1","C10","4.7uF","Device:C_Small","","~"
"8","1","C15","1uF","Device:C_Small","","~"
"9","1","D1","YELLOW","Device:LED","","~"
"10","1","D2","GREEN","Device:LED","","~"
"11","1","D3","RED","Device:LED","","~"
"12","1","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~"
"13","1","JP1","Jumper","Jumper:Jumper_3_Bridged12","","~"
"14","2","R1, R2","10k","Device:R_Small","","~"
"15","1","R3","1k","Device:R_Small","","~"
"16","1","R4","2k","Device:R_Small","","~"
"17","3","R5, R6, R7","330","Device:R_Small","","~"
"18","1","SW1","SW_Push","Switch:SW_Push","","~"
"19","1","U1","STM32F030C8Tx","MCU_ST_STM32F0:STM32F030C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00088500.pdf"
"20","1","U2","LF33_TO220","Regulator_Linear:LF33_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf"
"21","1","U3","LM7805_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"22","1","U4","KQ130-F","PLM:KQ130-F","",""
"23","1","Y1","32.768Hz","Device:Crystal","","~"
